Feature,Mean_SHAP
aqi_roll_mean_3,55.83782
aqi_lag_2,6.0803056
aqi_lag_1,2.1291993
pm25_roll_mean_24,1.5584307
aqi_lag_3,1.1491672
ozone,0.668282
pm25_lag_3,0.5369365
aqi_roll_max_24,0.48594514
aqi_roll_mean_6,0.32125095
hour_cos,0.18001947
aqi_lag_6,0.15761727
pm25_lag_6,0.12863424
pm25_lag_24,0.117062636
hour,0.10457579
hour_sin,0.09604614
pm25_roll_max_24,0.09063243
aqi_roll_std_24,0.08254273
sulphur_dioxide,0.065156445
aqi_lag_72,0.058475472
aqi_lag_24,0.05230304
pm10,0.050213203
shortwave_radiation,0.043031547
pm25_lag_1,0.04183741
carbon_monoxide,0.039351404
temperature_2m,0.037913498
nitrogen_dioxide,0.03412262
pm2_5,0.03358555
wind_lag_6,0.031719156
aqi_lag_48,0.030621383
wind_lag_1,0.028237969
aqi_lag_12,0.027469443
aqi_roll_mean_12,0.027459221
humidity_pm25,0.027407024
aqi_roll_mean_48,0.026074417
ventilation_idx,0.025933048
surface_pressure,0.024621569
aqi_roll_min_24,0.02412873
relative_humidity_2m,0.023047026
wind_speed_10m,0.02114922
boundary_layer_height,0.021016791
aqi_roll_mean_24,0.02070621
wind_gusts_10m,0.02044848
et0_fao_evapotranspiration,0.019438788
wind_direction_10m,0.018434575
dew_point_2m,0.016752616
cloud_cover,0.015728617
dust,0.0108084055
day_of_week,0.009239368
day_of_year,0.007913811
wdir_SW,0.0064849835
dow_sin,0.0063863355
wdir_W,0.005962754
month,0.004807738
month_sin,0.00446072
week_of_year,0.0044262316
month_cos,0.0038966548
dow_cos,0.003213315
precip_sum_24h,0.0025829398
precip_sum_6h,0.0022796139
year,0.0021604372
precip_lag_24,0.0017008912
wdir_NW,0.0016879478
wdir_NE,0.001518155
wdir_SE,0.0012598161
precipitation,0.001108633
season_winter,0.0010500823
inversion_proxy,0.00091801083
precip_lag_6,0.0007407074
precip_lag_3,0.000562843
season_post_monsoon,0.00048684137
precip_lag_12,0.00043870776
season_summer,0.0003464378
precip_lag_1,0.00033228935
wdir_S,0.00022323355
is_festival,8.5560496e-05
is_weekend,0.0
wdir_N,0.0
